                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.81177,                0.44681,                0.98491,                0.88415,                0.40833,                0.98137,                0.96108,                0.94065,                0.98494,                0.73451,                0.90926,                0.41443,                 1.0556,                0.94889,                0.34278,                 1.0335,              0.0003368,              0.0003368,              0.0003368
                     87,                 0.8031,                0.45102,                0.98113,                0.87721,                0.41441,                0.98544,                 0.9593,                0.94286,                0.98436,                0.72956,                0.91592,                0.41444,                 1.0546,                0.95152,                0.34868,                 1.0279,               0.000317,               0.000317,               0.000317
                     88,                0.80792,                0.44443,                 0.9752,                0.89152,                0.41604,                0.98286,                0.95931,                   0.95,                0.98542,                0.73218,                 0.8873,                0.41228,                 1.0402,                 0.9219,                0.33859,                 1.0252,              0.0002972,              0.0002972,              0.0002972
                     89,                0.79694,                0.44034,                0.96743,                0.87854,                0.39088,                0.97035,                0.94595,                0.95833,                0.98203,                0.72683,                0.90695,                0.41632,                 1.0621,                 0.9343,                0.34982,                 1.0403,              0.0002774,              0.0002774,              0.0002774
                     90,                0.78767,                0.43925,                0.96838,                 0.8563,                0.41397,                0.97328,                0.95612,                0.94524,                0.98309,                0.74351,                0.87397,                0.40833,                 1.0381,                0.91091,                0.33104,                 1.0243,              0.0002576,              0.0002576,              0.0002576
                     91,                0.75014,                0.39739,                 0.9553,                0.79013,                0.32981,                0.94897,                0.96066,                0.93016,                0.97701,                0.72952,                0.91561,                0.42331,                 1.0654,                0.94241,                0.36023,                 1.0522,              0.0002378,              0.0002378,              0.0002378
                     92,                0.72053,                0.40588,                0.93735,                0.76244,                 0.3301,                0.93074,                0.93843,                 0.9381,                0.97829,                0.73778,                0.88694,                0.41656,                 1.0547,                0.90879,                0.34644,                 1.0406,               0.000218,               0.000218,               0.000218
                     93,                0.70635,                0.36924,                   0.93,                0.75084,                0.28727,                0.91874,                0.92771,                0.94724,                0.98274,                0.73145,                0.90611,                0.41044,                 1.0559,                0.92866,                0.35371,                 1.0404,              0.0001982,              0.0001982,              0.0001982
                     94,                0.68227,                0.36681,                0.91964,                0.72101,                0.28455,                0.90811,                0.94674,                0.95476,                0.98367,                0.73685,                0.87984,                0.40574,                 1.0471,                0.90903,                0.34943,                 1.0231,              0.0001784,              0.0001784,              0.0001784
                     95,                0.70098,                0.36712,                0.92979,                0.73527,                0.30281,                0.92373,                0.94815,                0.95777,                0.98377,                0.73195,                0.91338,                0.41098,                 1.0555,                0.93412,                0.33752,                 1.0373,              0.0001586,              0.0001586,              0.0001586
                     96,                0.68685,                0.36572,                  0.924,                0.73066,                0.28404,                0.91695,                 0.9658,                 0.9619,                0.98831,                0.73535,                0.88802,                0.40878,                  1.047,                0.91825,                0.33001,                 1.0338,              0.0001388,              0.0001388,              0.0001388
                     97,                 0.6811,                0.36168,                 0.9208,                0.71963,                0.27389,                0.90806,                 0.9549,                0.95781,                0.98622,                0.74009,                0.87063,                0.40262,                 1.0454,                0.90518,                 0.3367,                 1.0347,               0.000119,               0.000119,               0.000119
                     98,                0.66851,                0.35343,                0.92088,                0.70911,                0.27472,                0.91565,                0.94119,                0.95952,                0.98561,                0.74093,                0.86945,                0.40022,                 1.0412,                0.90984,                0.33186,                 1.0325,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.66142,                0.35597,                0.91773,                0.70149,                0.28613,                 0.9139,                0.95875,                0.95952,                0.98797,                0.73529,                0.88868,                0.40432,                 1.0467,                0.91704,                0.32099,                 1.0299,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 0.6558,                0.35801,                0.91641,                0.68612,                0.27887,                0.91204,                0.95762,                0.95714,                0.98698,                0.74279,                0.85948,                 0.3962,                 1.0369,                 0.8899,                0.32826,                 1.0182,               5.96e-05,               5.96e-05,               5.96e-05
